iter	Passed	Remaining
<<<<<<< HEAD
0	2	617
1	4	733
2	7	733
3	11	869
4	15	921
5	18	887
6	20	858
7	21	797
8	24	785
9	25	746
10	28	744
11	32	774
12	34	770
13	37	761
14	39	757
15	44	787
16	47	794
17	50	791
18	53	784
19	55	783
20	58	781
21	62	783
22	64	776
23	66	768
24	69	764
25	72	763
26	76	776
27	79	776
28	82	773
29	85	768
30	88	763
31	90	760
32	93	756
33	95	751
34	98	747
35	101	744
36	104	740
37	108	747
38	111	745
39	114	742
40	116	738
41	119	734
42	122	730
43	124	726
44	127	724
45	130	721
46	133	716
47	135	712
48	140	721
49	144	720
50	147	718
51	149	714
52	152	711
53	155	707
54	158	707
55	161	703
56	164	699
57	166	695
58	169	694
59	175	701
60	178	698
61	180	693
62	183	688
63	185	685
64	188	682
65	191	679
66	194	674
67	196	671
68	199	667
69	202	666
70	207	669
71	210	665
72	212	661
73	215	658
74	218	656
75	221	654
76	224	650
77	227	646
78	229	642
79	232	639
80	237	641
81	240	638
82	242	635
83	245	631
84	248	629
85	251	625
86	254	623
87	257	620
88	259	616
89	262	612
90	265	609
91	269	610
92	272	607
93	275	603
94	278	600
95	280	597
96	283	593
97	286	590
98	288	586
99	291	583
100	294	580
101	297	577
102	302	578
103	305	575
104	308	573
105	311	570
106	314	566
107	316	562
108	319	559
109	322	556
110	325	553
111	328	550
112	332	550
113	336	549
114	339	546
115	343	545
116	347	543
117	350	541
118	353	537
119	356	534
120	359	531
121	361	527
122	365	526
123	371	527
124	375	525
125	378	522
126	381	519
127	384	516
128	386	512
129	389	509
130	392	506
131	396	504
132	401	503
133	404	500
134	407	498
135	410	495
136	414	492
137	417	490
138	420	487
139	423	484
140	427	482
141	432	481
142	436	479
143	439	476
144	444	474
145	452	477
146	457	475
147	461	473
148	466	473
149	476	476
150	479	473
151	484	471
152	490	471
153	495	469
154	499	466
155	502	463
156	506	460
157	509	458
158	513	455
159	516	452
160	522	450
161	525	447
162	528	444
163	532	441
164	535	438
165	539	435
166	544	433
167	547	430
168	554	429
169	558	426
170	562	424
171	565	421
172	569	418
173	573	415
174	577	412
175	580	409
176	587	408
177	591	405
178	594	401
179	597	398
180	601	395
181	605	392
182	609	389
183	614	387
184	621	386
185	626	383
186	630	380
187	634	378
188	639	375
189	644	373
190	652	372
191	658	370
192	663	367
193	668	365
194	672	362
195	677	359
196	685	358
197	688	354
198	692	351
199	697	348
200	703	346
201	707	343
202	713	341
203	717	337
204	724	335
205	728	332
206	732	329
207	736	325
208	741	322
209	747	320
210	753	317
211	756	314
212	760	310
213	764	307
214	768	304
215	772	300
216	777	297
217	781	293
218	785	290
219	789	287
220	792	283
221	796	279
222	799	276
223	803	272
224	808	269
225	814	266
226	817	263
227	821	259
228	824	255
229	828	252
230	831	248
231	834	244
232	838	241
233	846	238
234	849	235
235	853	231
236	856	227
237	860	224
238	863	220
239	867	216
240	870	213
241	877	210
242	880	206
243	884	202
244	887	199
245	891	195
246	894	191
247	897	188
248	901	184
249	906	181
250	910	177
251	913	174
252	917	170
253	921	166
254	925	163
255	929	159
256	933	156
257	939	152
258	944	149
259	947	145
260	951	142
261	954	138
262	958	134
263	961	131
264	965	127
265	971	124
266	975	120
267	979	116
268	982	113
269	986	109
270	989	105
271	993	102
272	996	98
273	1001	95
274	1006	91
275	1010	87
276	1014	84
277	1017	80
278	1021	76
279	1026	73
280	1029	69
281	1035	66
282	1042	62
283	1045	58
284	1048	55
285	1053	51
286	1056	47
287	1059	44
288	1063	40
289	1069	36
290	1073	33
291	1076	29
292	1079	25
293	1083	22
294	1086	18
295	1090	14
296	1094	11
297	1100	7
298	1104	3
299	1107	0
=======
0	4	1325
1	8	1215
2	12	1198
3	15	1168
4	19	1143
5	23	1128
6	26	1125
7	30	1118
8	34	1126
9	38	1121
10	42	1116
11	46	1126
12	50	1119
13	54	1115
14	58	1114
15	62	1113
16	66	1114
17	70	1111
18	74	1106
19	79	1106
20	81	1078
21	84	1073
22	88	1070
23	92	1065
24	96	1061
25	100	1056
26	104	1052
27	107	1048
28	111	1046
29	115	1043
30	119	1040
31	123	1037
32	128	1039
33	132	1035
34	136	1034
35	140	1028
36	144	1026
37	148	1021
38	152	1018
39	156	1014
40	160	1013
41	164	1009
42	168	1006
43	172	1001
44	176	998
45	179	993
46	183	989
47	187	985
48	192	983
49	196	980
50	200	977
51	204	974
52	208	970
53	212	967
54	216	964
55	220	959
56	224	956
57	228	953
58	232	948
59	236	944
60	239	939
61	243	935
62	247	930
63	251	928
64	255	924
65	259	921
66	263	916
67	267	912
68	271	907
69	275	904
70	279	901
71	283	898
72	287	895
73	292	893
74	296	888
75	300	885
76	304	881
77	308	878
78	313	876
79	317	871
80	321	868
81	325	865
82	329	861
83	333	857
84	337	852
85	341	849
86	345	846
87	349	842
88	353	838
89	357	834
90	361	830
91	365	826
92	369	822
93	373	818
94	377	814
95	381	811
96	385	807
97	389	803
98	393	799
99	397	795
100	401	790
101	405	787
102	409	783
103	413	779
104	417	775
105	421	771
106	425	767
107	429	763
108	433	758
109	436	754
110	441	751
111	444	746
112	448	741
113	451	737
114	455	732
115	459	728
116	463	724
117	467	721
118	472	718
119	476	714
120	480	710
121	484	706
122	488	702
123	492	699
124	496	695
125	501	692
126	505	688
127	509	684
128	513	680
129	517	676
130	521	673
131	526	669
132	530	666
133	534	661
134	538	658
135	542	654
136	546	650
137	550	645
138	554	641
139	558	638
140	562	634
141	566	630
142	570	626
143	574	622
144	578	618
145	582	614
146	587	611
147	591	607
148	595	603
149	599	599
150	603	595
151	607	591
152	611	587
153	615	583
154	619	579
155	623	575
156	627	571
157	632	568
158	636	564
159	640	560
160	644	556
161	648	552
162	653	548
163	656	544
164	660	540
165	664	536
166	667	531
167	672	528
168	676	524
169	680	520
170	684	516
171	688	512
172	692	508
173	696	504
174	700	500
175	704	496
176	708	492
177	712	488
178	716	484
179	720	480
180	724	476
181	728	472
182	732	468
183	736	464
184	740	460
185	744	456
186	748	452
187	752	448
188	756	444
189	760	440
190	764	436
191	768	432
192	772	428
193	776	424
194	781	420
195	785	416
196	789	412
197	793	408
198	797	404
199	801	400
200	805	396
201	810	392
202	813	388
203	818	384
204	822	380
205	826	376
206	829	372
207	833	368
208	838	364
209	842	360
210	846	356
211	850	353
212	854	349
213	859	345
214	862	341
215	867	337
216	872	333
217	876	329
218	881	325
219	886	322
220	890	318
221	895	314
222	900	310
223	904	306
224	908	302
225	913	299
226	917	295
227	922	291
228	926	287
229	931	283
230	936	279
231	940	275
232	945	271
233	949	267
234	954	264
235	959	260
236	964	256
237	968	252
238	972	248
239	977	244
240	981	240
241	986	236
242	990	232
243	995	228
244	999	224
245	1004	220
246	1008	216
247	1013	212
248	1017	208
249	1021	204
250	1026	200
251	1030	196
252	1035	192
253	1039	188
254	1043	184
255	1048	180
256	1052	176
257	1056	172
258	1061	168
259	1065	163
260	1069	159
261	1074	155
262	1078	151
263	1083	147
264	1087	143
265	1092	139
266	1096	135
267	1101	131
268	1105	127
269	1109	123
270	1114	119
271	1119	115
272	1123	111
273	1127	107
274	1132	102
275	1136	98
276	1140	94
277	1145	90
278	1149	86
279	1153	82
280	1157	78
281	1162	74
282	1166	70
283	1170	65
284	1174	61
285	1179	57
286	1183	53
287	1187	49
288	1191	45
289	1196	41
290	1200	37
291	1204	33
292	1209	28
293	1213	24
294	1217	20
295	1222	16
296	1226	12
297	1231	8
298	1235	4
299	1239	0

299	1217	0
>>>>>>> 0bc0296a8f6a75a3377b32feb9a7a3fe401b8d79
